epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,382.035,1.15549,0.60016,1.11794,0.94936,0.98947,0.98871,0.73156,0.93865,0.50448,1.02071,0.0011882,0.0011882,0.0011882
43,390.911,1.1262,0.58335,1.11351,0.9589,0.98947,0.9913,0.76756,0.90208,0.46478,1.00447,0.0011684,0.0011684,0.0011684
44,399.775,1.12873,0.58013,1.11303,0.97892,0.97769,0.9873,0.73345,0.95168,0.49513,0.99949,0.0011486,0.0011486,0.0011486
45,408.859,1.10828,0.58684,1.10139,0.9614,0.96842,0.98223,0.73266,0.9553,0.51173,1.02845,0.0011288,0.0011288,0.0011288
46,417.94,1.07741,0.56165,1.08854,0.96788,0.98947,0.98901,0.77028,0.87843,0.45033,1.00102,0.001109,0.001109,0.001109
47,426.949,1.0951,0.57364,1.08439,0.94095,0.98947,0.98556,0.75763,0.91364,0.49188,0.98702,0.0010892,0.0010892,0.0010892
48,435.73,1.09827,0.57462,1.09246,0.95855,0.97375,0.98952,0.72942,0.93118,0.46869,1.00826,0.0010694,0.0010694,0.0010694
49,444.537,1.07926,0.56272,1.08556,0.95259,0.96842,0.98739,0.74776,0.93274,0.49088,1.01698,0.0010496,0.0010496,0.0010496
50,453.604,1.07843,0.56908,1.0818,0.9587,0.97748,0.98861,0.7457,0.91786,0.46809,1.01017,0.0010298,0.0010298,0.0010298
51,462.556,1.05243,0.55034,1.07278,0.97612,0.96842,0.98386,0.74983,0.90502,0.46104,0.98436,0.00101,0.00101,0.00101
52,471.308,1.06577,0.5531,1.07786,0.96657,0.97895,0.99103,0.741,0.91568,0.46014,1.0015,0.0009902,0.0009902,0.0009902
53,480.153,1.04456,0.55779,1.0762,0.98553,0.96842,0.99079,0.77294,0.90204,0.46928,0.99206,0.0009704,0.0009704,0.0009704
