epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,174.368,1.23655,0.6948,1.16641,0.93161,0.92632,0.97076,0.72183,0.98347,0.60355,1.03952,0.0015644,0.0015644,0.0015644
24,181.955,1.20505,0.66255,1.16263,0.97167,0.90526,0.98098,0.68091,1.11707,0.60847,1.08439,0.0015446,0.0015446,0.0015446
25,189.379,1.1928,0.65685,1.1527,0.93799,0.94737,0.97967,0.72039,0.9717,0.53803,1.01302,0.0015248,0.0015248,0.0015248
26,196.609,1.21357,0.6628,1.15554,0.96261,0.92632,0.98617,0.73018,1.00638,0.53469,1.04272,0.001505,0.001505,0.001505
27,204.121,1.17439,0.64658,1.13833,0.92709,0.98947,0.98643,0.72767,0.95745,0.57713,1.03623,0.0014852,0.0014852,0.0014852
28,211.653,1.18884,0.63992,1.13058,0.96874,0.97852,0.98308,0.72209,0.98823,0.55868,1.02739,0.0014654,0.0014654,0.0014654
29,218.993,1.17134,0.62391,1.14839,0.95411,0.95789,0.97566,0.6929,0.99049,0.54684,1.01495,0.0014456,0.0014456,0.0014456
30,226.368,1.19634,0.63912,1.13663,0.95499,0.96842,0.98911,0.72152,0.99451,0.52723,1.02591,0.0014258,0.0014258,0.0014258
31,233.461,1.17774,0.6245,1.13979,0.93574,0.96842,0.98352,0.7143,1.00406,0.5366,1.01718,0.001406,0.001406,0.001406
32,240.953,1.18292,0.63935,1.14781,0.92862,0.9586,0.97986,0.74336,0.91286,0.49223,1.00204,0.0013862,0.0013862,0.0013862
33,248.488,1.19289,0.62829,1.14195,0.96372,0.95789,0.98829,0.72251,1.03528,0.55753,1.03983,0.0013664,0.0013664,0.0013664
34,255.903,1.14646,0.60173,1.10958,0.94236,0.96842,0.98811,0.73008,0.94248,0.54197,1.00092,0.0013466,0.0013466,0.0013466
35,263.467,1.14529,0.62091,1.11907,0.9785,0.9582,0.98827,0.73573,0.94382,0.51061,0.99453,0.0013268,0.0013268,0.0013268
36,271.251,1.12905,0.60051,1.09889,0.94215,0.94737,0.98296,0.72667,0.9719,0.54101,1.01593,0.001307,0.001307,0.001307
37,278.558,1.13145,0.59542,1.10856,0.96764,0.94438,0.98611,0.72086,0.94966,0.51615,1.00373,0.0012872,0.0012872,0.0012872
38,286.086,1.12239,0.5872,1.12227,0.97128,0.95789,0.98667,0.73491,0.95146,0.5115,1.00661,0.0012674,0.0012674,0.0012674
39,293.06,1.11742,0.59942,1.11064,0.92791,0.94844,0.97689,0.75089,0.88603,0.54022,0.99902,0.0012476,0.0012476,0.0012476
40,300.352,1.10784,0.57707,1.10597,0.98576,0.95789,0.98467,0.74441,0.9361,0.50604,0.99472,0.0012278,0.0012278,0.0012278
41,307.716,1.10533,0.57314,1.11003,0.9359,0.97895,0.97851,0.74178,0.89552,0.48646,0.98598,0.001208,0.001208,0.001208
42,315.046,1.1158,0.58021,1.11004,0.95796,0.9595,0.98909,0.73792,0.94223,0.48317,1.01195,0.0011882,0.0011882,0.0011882
43,322.392,1.09731,0.56893,1.09552,0.95653,0.92657,0.98317,0.74184,0.94785,0.50137,0.98745,0.0011684,0.0011684,0.0011684
44,329.881,1.09353,0.55318,1.09464,0.94898,0.979,0.99129,0.74415,0.95132,0.48584,1.01205,0.0011486,0.0011486,0.0011486
45,337.051,1.08043,0.56154,1.08627,0.95498,0.94737,0.98168,0.73595,0.96886,0.51616,1.0312,0.0011288,0.0011288,0.0011288
46,344.371,1.06549,0.54574,1.08625,0.97874,0.96917,0.98792,0.75541,0.91173,0.4787,0.99427,0.001109,0.001109,0.001109
47,351.704,1.05866,0.56078,1.07843,0.94632,0.97895,0.98977,0.74922,0.94991,0.47569,1.02939,0.0010892,0.0010892,0.0010892
48,359.013,1.06124,0.56267,1.08553,0.94894,0.97822,0.98706,0.7519,0.94155,0.48644,1.00679,0.0010694,0.0010694,0.0010694
49,366.353,1.05578,0.55611,1.07454,0.95145,0.98947,0.99078,0.74689,0.93531,0.49434,1.01106,0.0010496,0.0010496,0.0010496
50,373.605,1.04792,0.55701,1.06564,0.93988,0.98743,0.99123,0.76693,0.9082,0.46171,0.99158,0.0010298,0.0010298,0.0010298
51,381.205,1.02717,0.53799,1.06407,0.96843,0.96885,0.99098,0.77565,0.86869,0.46569,0.97599,0.00101,0.00101,0.00101
52,388.335,1.05044,0.54622,1.07269,0.93888,0.95789,0.98375,0.73878,0.95382,0.54101,1.01392,0.0009902,0.0009902,0.0009902
53,395.624,1.02606,0.5304,1.06083,0.9648,0.97895,0.98729,0.75848,0.87621,0.45884,0.98182,0.0009704,0.0009704,0.0009704
54,403.113,1.01101,0.52062,1.05762,0.9688,0.98052,0.99058,0.75366,0.90623,0.45962,0.97315,0.0009506,0.0009506,0.0009506
55,410.329,1.01151,0.5151,1.05179,0.98884,0.9324,0.98628,0.75547,0.89712,0.48283,0.97227,0.0009308,0.0009308,0.0009308
56,417.821,1.00199,0.5236,1.05061,0.98212,0.94737,0.98822,0.7763,0.85677,0.46127,0.97422,0.000911,0.000911,0.000911
57,425.189,1.00978,0.51803,1.05525,0.99811,0.95789,0.9917,0.77152,0.87209,0.45154,0.9804,0.0008912,0.0008912,0.0008912
58,432.613,1.00679,0.52081,1.05508,0.97668,0.97895,0.99293,0.76598,0.8662,0.42678,0.96421,0.0008714,0.0008714,0.0008714
59,440.285,1.00052,0.51573,1.05148,0.93806,0.97895,0.98797,0.75163,0.88943,0.47326,0.97464,0.0008516,0.0008516,0.0008516
60,447.71,0.99711,0.51059,1.0459,0.98607,0.95789,0.98875,0.76754,0.88062,0.42807,0.97031,0.0008318,0.0008318,0.0008318
61,455.185,0.98272,0.51685,1.03844,0.92732,0.97895,0.98954,0.75788,0.90324,0.44001,0.9785,0.000812,0.000812,0.000812
62,462.618,0.97304,0.5017,1.03851,0.98499,0.97895,0.99234,0.78351,0.87459,0.43379,0.97748,0.0007922,0.0007922,0.0007922
63,470.01,0.96143,0.48878,1.0342,0.97446,0.96842,0.99246,0.78437,0.83185,0.42734,0.95665,0.0007724,0.0007724,0.0007724
64,477.293,0.95329,0.50065,1.0303,0.97661,0.96842,0.99098,0.77482,0.87936,0.42545,0.95823,0.0007526,0.0007526,0.0007526
65,484.626,0.96677,0.49725,1.02858,0.93757,0.96842,0.98599,0.7778,0.87068,0.44406,0.96021,0.0007328,0.0007328,0.0007328
66,491.918,0.92206,0.47847,1.01783,0.94931,0.98575,0.98991,0.74934,0.91076,0.43491,0.97829,0.000713,0.000713,0.000713
67,499.325,0.92349,0.47936,1.00681,0.96928,0.99629,0.99302,0.78222,0.83638,0.41507,0.95736,0.0006932,0.0006932,0.0006932
68,506.866,0.94243,0.48731,1.02245,0.98746,0.98947,0.993,0.77646,0.8499,0.40667,0.94628,0.0006734,0.0006734,0.0006734
69,514.235,0.9113,0.47995,1.00753,0.97679,0.97895,0.99235,0.76813,0.85407,0.41682,0.95952,0.0006536,0.0006536,0.0006536
70,521.669,0.90787,0.47046,0.9998,0.96899,0.98672,0.99256,0.7816,0.84015,0.39854,0.95809,0.0006338,0.0006338,0.0006338
71,528.991,0.9136,0.47367,1.00261,0.98921,0.96529,0.99284,0.78818,0.85894,0.39614,0.95697,0.000614,0.000614,0.000614
72,536.207,0.90981,0.4709,1.00063,0.97174,0.97895,0.99223,0.7759,0.84856,0.41008,0.94665,0.0005942,0.0005942,0.0005942
73,543.717,0.90073,0.46048,1.00434,0.96868,0.97669,0.99242,0.78128,0.81497,0.38641,0.93937,0.0005744,0.0005744,0.0005744
74,551.149,0.88774,0.45446,0.99558,0.98946,0.98865,0.99337,0.79738,0.82359,0.39344,0.9403,0.0005546,0.0005546,0.0005546
75,558.556,0.85428,0.44298,0.98338,0.97374,0.96842,0.98974,0.79133,0.81907,0.39933,0.93921,0.0005348,0.0005348,0.0005348
76,566.007,0.88248,0.45527,0.98741,0.9675,0.96842,0.99173,0.77503,0.8565,0.39705,0.95874,0.000515,0.000515,0.000515
77,573.55,0.8515,0.44206,0.98541,0.95248,0.97895,0.99095,0.78584,0.82293,0.39351,0.95232,0.0004952,0.0004952,0.0004952
78,580.973,0.87142,0.45558,0.99009,0.97688,0.94737,0.98483,0.77499,0.85249,0.41417,0.9694,0.0004754,0.0004754,0.0004754
79,588.519,0.85253,0.44319,0.98078,0.99547,0.93684,0.99133,0.78721,0.83202,0.40245,0.95425,0.0004556,0.0004556,0.0004556
80,595.827,0.84204,0.44609,0.97965,0.97823,0.94599,0.9896,0.78268,0.82645,0.40344,0.95133,0.0004358,0.0004358,0.0004358
81,603.359,0.85013,0.43711,0.97932,0.96838,0.9671,0.99132,0.78306,0.804,0.39478,0.94025,0.000416,0.000416,0.000416
82,610.606,0.82779,0.43432,0.9663,0.9591,0.9875,0.99293,0.78536,0.81946,0.37979,0.94628,0.0003962,0.0003962,0.0003962
83,617.926,0.83628,0.43978,0.96785,0.99624,0.95789,0.99318,0.78606,0.81582,0.38074,0.94906,0.0003764,0.0003764,0.0003764
84,625.286,0.8284,0.42656,0.96484,0.9905,0.95789,0.99337,0.79803,0.81003,0.38342,0.95918,0.0003566,0.0003566,0.0003566
85,632.717,0.81483,0.42664,0.96859,0.97732,0.96842,0.99151,0.80161,0.79329,0.38761,0.94013,0.0003368,0.0003368,0.0003368
86,640.092,0.81687,0.42055,0.95578,0.99199,0.97895,0.99335,0.80187,0.8175,0.37563,0.94631,0.000317,0.000317,0.000317
87,647.506,0.81609,0.42294,0.96617,0.98299,0.97895,0.99312,0.79669,0.83265,0.3707,0.95341,0.0002972,0.0002972,0.0002972
88,654.828,0.79981,0.4199,0.96058,0.96744,0.98947,0.99346,0.79955,0.80386,0.35945,0.94424,0.0002774,0.0002774,0.0002774
89,662.27,0.79676,0.41902,0.96353,0.98488,0.96842,0.99304,0.80413,0.78611,0.35521,0.93255,0.0002576,0.0002576,0.0002576
90,669.807,0.78622,0.41209,0.95559,0.97589,0.97895,0.99271,0.7966,0.80007,0.36841,0.93824,0.0002378,0.0002378,0.0002378
91,678.233,0.75038,0.37068,0.93634,0.96544,0.97895,0.99217,0.7911,0.81686,0.38425,0.93735,0.000218,0.000218,0.000218
92,685.515,0.73637,0.36074,0.93384,0.95781,0.97895,0.99098,0.79576,0.80121,0.37705,0.93657,0.0001982,0.0001982,0.0001982
93,692.75,0.71537,0.36013,0.9192,0.96594,0.97895,0.99081,0.7868,0.81326,0.3836,0.93869,0.0001784,0.0001784,0.0001784
94,700.095,0.71791,0.35204,0.91877,0.97761,0.97895,0.99285,0.79678,0.80622,0.36492,0.93337,0.0001586,0.0001586,0.0001586
95,707.479,0.70467,0.355,0.91571,0.9687,0.97729,0.99187,0.79594,0.80849,0.36732,0.93504,0.0001388,0.0001388,0.0001388
96,715.148,0.69769,0.35282,0.90487,0.97724,0.96842,0.99143,0.80273,0.80652,0.37129,0.94207,0.000119,0.000119,0.000119
97,722.092,0.6862,0.34263,0.90673,0.97744,0.97895,0.99221,0.80094,0.81018,0.36293,0.94352,9.92e-05,9.92e-05,9.92e-05
98,729.315,0.68331,0.34122,0.91862,0.97891,0.97735,0.99283,0.81273,0.78479,0.34989,0.93401,7.94e-05,7.94e-05,7.94e-05
99,736.705,0.67632,0.34046,0.90836,0.95914,0.9885,0.99253,0.80308,0.79299,0.34875,0.93619,5.96e-05,5.96e-05,5.96e-05
100,744.056,0.67133,0.33669,0.90665,0.97868,0.97895,0.99334,0.80617,0.79487,0.35006,0.93911,3.98e-05,3.98e-05,3.98e-05
