epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8054,1.43544,2.49562,1.22033,1,0.16603,0.43578,0.30961,1.18392,3.08266,1.07458,0.000658537,0.000658537,0.000658537
2,19.498,1.46718,1.61511,1.25582,0.83138,0.76842,0.85969,0.53857,1.25884,1.49193,1.10926,0.00131208,0.00131208,0.00131208
3,27.1688,1.46172,1.35532,1.27292,0.86978,0.77343,0.86573,0.54278,1.20753,1.62763,1.06798,0.00195243,0.00195243,0.00195243
4,34.7637,1.46772,1.19116,1.28706,0.97511,0.82472,0.94149,0.67215,1.08022,0.86281,1.07953,0.0019406,0.0019406,0.0019406
5,41.783,1.4457,1.02454,1.26422,0.86446,0.87368,0.90074,0.60993,1.07442,1.19569,1.07706,0.0019208,0.0019208,0.0019208
6,49.1033,1.40914,0.96193,1.26344,0.96157,0.86316,0.95532,0.64148,1.1416,0.7799,1.07647,0.001901,0.001901,0.001901
7,56.5386,1.38258,0.94238,1.24334,0.77638,0.76747,0.85297,0.51471,1.39394,1.1071,1.17878,0.0018812,0.0018812,0.0018812
8,64.0703,1.37498,0.90101,1.23921,0.9456,0.92632,0.9414,0.67119,1.07561,0.73191,1.04562,0.0018614,0.0018614,0.0018614
9,71.3952,1.38556,0.87899,1.258,0.92812,0.81053,0.91478,0.65049,1.07868,0.97464,1.10195,0.0018416,0.0018416,0.0018416
10,78.6178,1.35583,0.82712,1.22072,0.9518,0.83145,0.93446,0.6253,1.1908,0.79825,1.13451,0.0018218,0.0018218,0.0018218
11,85.8702,1.35288,0.81594,1.22617,0.94658,0.93684,0.97997,0.68057,1.04439,0.61245,1.0671,0.001802,0.001802,0.001802
12,93.1941,1.31721,0.79457,1.20171,0.91459,0.90177,0.96699,0.63409,1.18193,0.7288,1.10845,0.0017822,0.0017822,0.0017822
13,100.478,1.30669,0.7824,1.21995,0.9576,0.95096,0.97648,0.69405,0.9768,0.59797,1.03957,0.0017624,0.0017624,0.0017624
14,107.74,1.30401,0.76944,1.21361,0.9788,0.97202,0.98915,0.68885,1.07415,0.59811,1.0509,0.0017426,0.0017426,0.0017426
15,115.046,1.30879,0.76292,1.21938,0.97317,0.92632,0.96324,0.67258,1.08153,0.67408,1.0815,0.0017228,0.0017228,0.0017228
16,122.564,1.2881,0.74661,1.19418,0.91736,0.90526,0.95186,0.65877,1.05623,0.70443,1.0508,0.001703,0.001703,0.001703
17,129.987,1.26722,0.73725,1.19316,0.96713,0.9291,0.9743,0.69377,0.98381,0.58846,1.02119,0.0016832,0.0016832,0.0016832
18,137.411,1.26532,0.73358,1.19529,0.96971,0.91579,0.97241,0.69116,0.99344,0.59324,1.02247,0.0016634,0.0016634,0.0016634
19,144.709,1.24172,0.70052,1.16333,0.9673,0.90526,0.97433,0.70846,1.00321,0.61285,1.02926,0.0016436,0.0016436,0.0016436
20,152.327,1.2538,0.70561,1.17466,0.93049,0.96842,0.98729,0.70908,1.00288,0.60131,1.03166,0.0016238,0.0016238,0.0016238
21,159.768,1.26886,0.7165,1.19347,0.94137,0.91579,0.95646,0.69571,0.99149,0.64621,1.03826,0.001604,0.001604,0.001604
22,167.146,1.2392,0.68243,1.17151,0.93186,0.8638,0.97155,0.70192,1.05176,0.64016,1.03481,0.0015842,0.0015842,0.0015842
