Model,Clutter_Level,Image_Name,Num_Detections,Avg_Confidence,TP,FP,FN,Precision,Recall,F1_Score,Avg_IOU
YOLOv8,Level_0,L0_25.png,1,0.8003910183906555,1,0,0,1.0,1.0,1.0,0.776577403280816
YOLOv11,Level_0,L0_25.png,1,0.8550508618354797,1,0,0,1.0,1.0,1.0,0.8536329463630428
YOLOv8,Level_1,L1_1.png,1,0.9118571281433105,1,0,0,1.0,1.0,1.0,0.9888489655144743
YOLOv11,Level_1,L1_1.png,1,0.9148156642913818,1,0,0,1.0,1.0,1.0,0.946063643692573
YOLOv8,Level_1,L1_2.png,1,0.883384644985199,1,0,0,1.0,1.0,1.0,0.9335230521611686
YOLOv11,Level_1,L1_2.png,1,0.8644624352455139,1,0,0,1.0,1.0,1.0,0.9678867077719336
YOLOv8,Level_1,L1_3.png,1,0.8756938576698303,1,0,0,1.0,1.0,1.0,0.8528971247730354
YOLOv11,Level_1,L1_3.png,1,0.8350574374198914,1,0,0,1.0,1.0,1.0,0.9005010816240697
YOLOv8,Level_1,L1_4.png,1,0.9064286947250366,1,0,0,1.0,1.0,1.0,0.8975951564056954
YOLOv11,Level_1,L1_4.png,1,0.8921604156494141,1,0,0,1.0,1.0,1.0,0.9059433165558483
YOLOv8,Level_1,L1_5.png,1,0.8619920015335083,1,0,0,1.0,1.0,1.0,0.8773265487511273
YOLOv11,Level_1,L1_5.png,1,0.8205480575561523,1,0,0,1.0,1.0,1.0,0.8918111884858727
YOLOv8,Level_1,L1_6.png,1,0.8652502298355103,1,0,0,1.0,1.0,1.0,0.8102396091750917
YOLOv11,Level_1,L1_6.png,1,0.8561387062072754,1,0,0,1.0,1.0,1.0,0.807788233901601
YOLOv8,Level_1,L1_7.png,1,0.8427914977073669,1,0,0,1.0,1.0,1.0,0.8687883230595123
YOLOv11,Level_1,L1_7.png,1,0.8430383801460266,1,0,0,1.0,1.0,1.0,0.6997499357179339
YOLOv8,Level_1,L1_8.png,1,0.8628833889961243,1,0,0,1.0,1.0,1.0,0.7905715272081991
YOLOv11,Level_1,L1_8.png,1,0.8576805591583252,1,0,0,1.0,1.0,1.0,0.8273488214529078
YOLOv8,Level_1,L1_9.png,1,0.8529291749000549,1,0,0,1.0,1.0,1.0,0.8322050010570594
YOLOv11,Level_1,L1_9.png,1,0.8342515826225281,1,0,0,1.0,1.0,1.0,0.8547319119770581
YOLOv8,Level_1,L1_10.png,1,0.8726814985275269,1,0,0,1.0,1.0,1.0,0.8240605460213631
YOLOv11,Level_1,L1_10.png,1,0.8781626224517822,1,0,0,1.0,1.0,1.0,0.8452269572174202
YOLOv8,Level_1,L1_11.png,1,0.8941168785095215,1,0,0,1.0,1.0,1.0,0.8550306033891547
YOLOv11,Level_1,L1_11.png,1,0.8685314059257507,1,0,0,1.0,1.0,1.0,0.8792689054627992
YOLOv8,Level_1,L1_12.png,1,0.8572717308998108,1,0,0,1.0,1.0,1.0,0.8543759632482042
YOLOv11,Level_1,L1_12.png,1,0.8368823528289795,1,0,0,1.0,1.0,1.0,0.9230921901908866
YOLOv8,Level_1,L1_13.png,1,0.2997310757637024,1,0,0,1.0,1.0,1.0,0.712138885798874
YOLOv11,Level_1,L1_13.png,1,0.8303480744361877,1,0,0,1.0,1.0,1.0,0.7285262419531232
YOLOv8,Level_1,L1_14.png,1,0.9316688776016235,1,0,0,1.0,1.0,1.0,0.9105723766138604
YOLOv11,Level_1,L1_14.png,1,0.9105743765830994,1,0,0,1.0,1.0,1.0,0.9254682782203046
YOLOv8,Level_1,L1_15.png,1,0.8416274785995483,1,0,0,1.0,1.0,1.0,0.7307125194785274
YOLOv11,Level_1,L1_15.png,1,0.8205181360244751,1,0,0,1.0,1.0,1.0,0.7680533613800425
YOLOv8,Level_1,L1_16.png,1,0.8864489197731018,1,0,0,1.0,1.0,1.0,0.9157959427998207
YOLOv11,Level_1,L1_16.png,1,0.8745267987251282,1,0,0,1.0,1.0,1.0,0.8979407662621113
YOLOv8,Level_1,L1_17.png,1,0.7464064359664917,1,0,0,1.0,1.0,1.0,0.6226028932028335
YOLOv11,Level_1,L1_17.png,1,0.8015119433403015,1,0,0,1.0,1.0,1.0,0.729548709070196
YOLOv8,Level_1,L1_18.png,1,0.885613203048706,1,0,0,1.0,1.0,1.0,0.9253926718333377
YOLOv11,Level_1,L1_18.png,1,0.8763043284416199,1,0,0,1.0,1.0,1.0,0.8518290708982309
YOLOv8,Level_1,L1_19.png,1,0.7144024968147278,0,1,1,0.0,0.0,0.0,0.0
YOLOv11,Level_1,L1_19.png,1,0.4516274631023407,0,1,1,0.0,0.0,0.0,0.0
YOLOv8,Level_1,L1_20.png,0,0.0,0,0,1,0.0,0.0,0.0,0.0
YOLOv11,Level_1,L1_20.png,1,0.8150013089179993,1,0,0,1.0,1.0,1.0,0.8985502909078815
YOLOv8,Level_1,L1_21.png,1,0.7721954584121704,1,0,0,1.0,1.0,1.0,0.8547951809120603
YOLOv11,Level_1,L1_21.png,1,0.8414368629455566,1,0,0,1.0,1.0,1.0,0.7692505042934388
YOLOv8,Level_1,L1_22.png,2,0.6949317455291748,1,1,0,0.5,1.0,0.6666666666666666,0.5832287255919621
YOLOv11,Level_1,L1_22.png,2,0.7636942863464355,1,1,0,0.5,1.0,0.6666666666666666,0.624624480939493
YOLOv8,Level_1,L1_23.png,1,0.8557275533676147,1,0,0,1.0,1.0,1.0,0.8952677393926439
YOLOv11,Level_1,L1_23.png,1,0.832633376121521,1,0,0,1.0,1.0,1.0,0.8603272545535418
YOLOv8,Level_1,L1_24.png,1,0.8638491034507751,1,0,0,1.0,1.0,1.0,0.9102564512283879
YOLOv11,Level_1,L1_24.png,1,0.8447084426879883,1,0,0,1.0,1.0,1.0,0.8738242692783604
YOLOv8,Level_1,L1_25.png,1,0.8790238499641418,1,0,0,1.0,1.0,1.0,0.836983070554363
YOLOv11,Level_1,L1_25.png,1,0.8241184949874878,1,0,0,1.0,1.0,1.0,0.8373744727556791
YOLOv8,Level_2,L2_1.png,1,0.8689886331558228,1,0,0,1.0,1.0,1.0,0.9544137741713834
YOLOv11,Level_2,L2_1.png,2,0.8622696399688721,1,1,0,0.5,1.0,0.6666666666666666,0.9475259010621601
YOLOv8,Level_2,L2_2.png,1,0.8245054483413696,1,0,0,1.0,1.0,1.0,0.7978258101303998
YOLOv11,Level_2,L2_2.png,2,0.7837298512458801,1,1,0,0.5,1.0,0.6666666666666666,0.7317354083061218
YOLOv8,Level_2,L2_3.png,1,0.8639901280403137,1,0,0,1.0,1.0,1.0,0.818911754437138
YOLOv11,Level_2,L2_3.png,2,0.6225940585136414,1,1,0,0.5,1.0,0.6666666666666666,0.8619308552122489
YOLOv8,Level_2,L2_4.png,1,0.6889005303382874,1,0,0,1.0,1.0,1.0,0.815502706496489
YOLOv11,Level_2,L2_4.png,1,0.8615152835845947,0,1,1,0.0,0.0,0.0,0.0
YOLOv8,Level_2,L2_5.png,0,0.0,0,0,1,0.0,0.0,0.0,0.0
YOLOv11,Level_2,L2_5.png,2,0.6674050092697144,1,1,0,0.5,1.0,0.6666666666666666,0.8265407144153798
YOLOv8,Level_2,L2_6.png,1,0.8626562356948853,1,0,0,1.0,1.0,1.0,0.8033608826172064
YOLOv11,Level_2,L2_6.png,2,0.7952830195426941,1,1,0,0.5,1.0,0.6666666666666666,0.835391706111561
YOLOv8,Level_2,L2_7.png,0,0.0,0,0,1,0.0,0.0,0.0,0.0
YOLOv11,Level_2,L2_7.png,2,0.6756844520568848,1,1,0,0.5,1.0,0.6666666666666666,0.8803131908991261
YOLOv8,Level_2,L2_8.png,1,0.8507369160652161,1,0,0,1.0,1.0,1.0,0.7931798755687823
YOLOv11,Level_2,L2_8.png,2,0.8337856531143188,1,1,0,0.5,1.0,0.6666666666666666,0.8075076400027089
YOLOv8,Level_2,L2_9.png,1,0.8777145147323608,1,0,0,1.0,1.0,1.0,0.9288831321551332
YOLOv11,Level_2,L2_9.png,2,0.7695947289466858,1,1,0,0.5,1.0,0.6666666666666666,0.9009469170366579
YOLOv8,Level_2,L2_10.png,1,0.25320178270339966,1,0,0,1.0,1.0,1.0,0.8553315355930363
YOLOv11,Level_2,L2_10.png,2,0.6261650323867798,1,1,0,0.5,1.0,0.6666666666666666,0.8626534454928592
YOLOv8,Level_2,L2_11.png,2,0.6664068698883057,0,2,1,0.0,0.0,0.0,0.0
YOLOv11,Level_2,L2_11.png,1,0.8444395661354065,0,1,1,0.0,0.0,0.0,0.0
YOLOv8,Level_2,L2_12.png,2,0.6839809417724609,1,1,0,0.5,1.0,0.6666666666666666,0.8968613308035771
YOLOv11,Level_2,L2_12.png,2,0.7101768255233765,1,1,0,0.5,1.0,0.6666666666666666,0.8443826092719988
YOLOv8,Level_2,L2_13.png,2,0.8053691387176514,1,1,0,0.5,1.0,0.6666666666666666,0.6162923331645774
YOLOv11,Level_2,L2_13.png,2,0.8445487022399902,1,1,0,0.5,1.0,0.6666666666666666,0.6131034728487275
YOLOv8,Level_2,L2_14.png,2,0.6589901447296143,1,1,0,0.5,1.0,0.6666666666666666,0.7994889676458989
YOLOv11,Level_2,L2_14.png,2,0.8035968542098999,1,1,0,0.5,1.0,0.6666666666666666,0.7494783733624424
YOLOv8,Level_2,L2_15.png,2,0.6023515462875366,1,1,0,0.5,1.0,0.6666666666666666,0.800146629097776
YOLOv11,Level_2,L2_15.png,2,0.6727219820022583,1,1,0,0.5,1.0,0.6666666666666666,0.7490013875777002
YOLOv8,Level_2,L2_16.png,2,0.6455996036529541,1,1,0,0.5,1.0,0.6666666666666666,0.8949591168587302
YOLOv11,Level_2,L2_16.png,1,0.8784404993057251,1,0,0,1.0,1.0,1.0,0.8446596935504789
YOLOv8,Level_2,L2_17.png,3,0.5768378973007202,1,2,0,0.3333333333333333,1.0,0.5,0.835014486645978
YOLOv11,Level_2,L2_17.png,1,0.765163242816925,0,1,1,0.0,0.0,0.0,0.0
YOLOv8,Level_2,L2_18.png,2,0.7137001752853394,1,1,0,0.5,1.0,0.6666666666666666,0.851731854145981
YOLOv11,Level_2,L2_18.png,2,0.8004630208015442,1,1,0,0.5,1.0,0.6666666666666666,0.8341310421217403
